brand	manufacturers_id	name	description	room_image_url	fiber	texture	warranty
Shaw	1	Playful Spirit	A delightful mini-shag in solid colors.  It's as playful shag...but a bit more conservative.	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV154_00701_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	12	Backdrop I 6		http://s7.shawimg.com/ir/render/ShawIndustriesRender/AxisLores_cropped?wid=630&obj=floors&src=is{ShawIndustriesRender/54682_00702_MAIN}&res=18&sharp=2&op_sharpen=1	60% Pet Polyester, 40% OlefinInside Out	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	13	Modern Twist		http://s7.shawimg.com/is/image/ShawIndustries/Z6821_00172_ROOM?$sf_w630$	100% Nylon	Tuftex	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	14	Bella Flora		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Z6243_00252_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	15	Rows		http://s7.shawimg.com/is/image/ShawIndustries/54437_00700_ROOM?$sf_w630$	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	16	Stylish Grid		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV160_00902_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	17	Oh Happy Day		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Z6910_00276_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	18	Area		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/54436_00500_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	19	Whatever Your Mood I		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/E0054_00400_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	20	Imagine the Difference I (s)15'		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/KA345_00702_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	21	Fifth Symphony II (t)		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q4708_00162_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	22	Color Currency I 12		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/KA377_00900_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	23	Style Performer		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/ZA921_01223_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	24	Standing Ovation	A lovely patterned loop with great durability	http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/J0040_40101_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	25	Color Currency II 12		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/KA379_00705_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	26	Days Like This		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Z6298_00778_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	27	Sensational Solution (t)		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/KA231_00150_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	28	Gardenscape (t)		http://s7.shawimg.com/ir/render/ShawIndustriesRender/AxisLores_cropped?wid=630&obj=floors&src=is{ShawIndustriesRender/54629_00700_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Inside Out	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	29	Resonance		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/J0118_00101_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	30	Backdrop II 6		http://s7.shawimg.com/ir/render/ShawIndustriesRender/AxisLores_cropped?wid=630&obj=floors&src=is{ShawIndustriesRender/54683_00100_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Inside Out	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	31	In the Know		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV114_00439_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	32	No Second Chance		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Z6248_00754_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Tuftex	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	33	Harborfields I 12'		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q4718_00201_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	34	Crosscountryuni		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/54079_78860_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	35	Fine Memory		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Z6259_00131_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	TufteShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	36	Secret Escape II 12		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/E0050_00901_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	37	Come & See		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/EA061_00400_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	QueenShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	38	Relaxing Escape		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV302_00173_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	39	Simple Twist		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV165_00300_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	40	Gravitation (s) 12'		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/E0020_00933_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Queen	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	41	Alamar (s)		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/Q4531_00108_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	QueenShaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	42	Winchester		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/50247_49602_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	43	Neyland 20 15'		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/50775_77840_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	44	Prairie Collection (s)	Organic pattern - Order a sample today!	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/53200_00008_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	45	March Delight II		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/KA355_00206_MAIN}&res=18&sharp=2&op_sharpen=1	100% Pet Polyester	Kathy Ireland	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	46	Endless Appeal	Tradition never felt so right...or looked so gorgeous.  This texture feels like sumptuous, soft velvet.	http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/TV143_00283_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	HGTV	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	47	Winchester 20		http://s7.shawimg.com/ir/render/ShawIndustriesRender/201108Bedroom_12_vignette?wid=630&obj=floors&src=is{ShawIndustriesRender/50248_49820_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	48	Scoreboard		http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/54511_11400_MAIN}&res=18&sharp=2&op_sharpen=1	100% Nylon	Philadelphia Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
Shaw	49	World Wide	A beautiful, basket-weave style loop	http://s7.shawimg.com/ir/render/ShawIndustriesRender/CommercialVignette_cropUpd?wid=630&obj=floors&src=is{ShawIndustriesRender/Q0598_98508_MAIN}&res=18&sharp=2&op_sharpen=1	100% Olefin	Queen Commercial	Shaw's Residential Carpet Fiber Hierarchy makes our warranties easy to understand, and, even more importantly, easy to compare. We have three residential fiber brands that support the Shaw brand: Anso Nylon, EverTouch Nylon, and ClearTouch PET Polyester. Each brand includes exclusive features and benefits. Please refer to our Tips, Trends, & Care section for a complete list of warranties.
