manufacturers_id	name	description	room_image_url	warranty
17	Legacy	Experience the essence of chic design and exquisite quality with Shaw Living's newest collection, Pacifica.  This collection was created to fulfill the need for heirloom quality woolen rugs with a contemporary aesthetic and will appeal to the modernist, minimalist, and traditionalist alike.  The colorway embodies rich, earth tones including ivory cream, polished copper, antique gold, palee leaf, bMachine woven of 100% New Zealand Wool, Pacifica is incredibly soft and luxurious with the styles featuring hand carving for additional dimension and detail.  Wool is a natural fiber that is renewable, sustainable and biodegradable.  The fiber is naturally soil resistant, durable and offers extraordinary performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
18	Modern Art	A casual lifestyle collection, Modern Elements features transitional and contemporary designs in two distinctive printed color palettes. Dramatic, bold blocks and other geometric shapes are influenced by the Arts & Crafts period. Trendy stripes, diamond patterns and striking large scale designs bring understated hints of nature or add feisty southwestern sizzle to a room.  Constructed of nylon for easy care, Modern Elements offers freshness, relaxed styling and exceptional value for today's savvy consumers.  2003 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
19	Royal Retreat			Shaw Living offers a one year warranty against manufacturing defects of area rug products.
20	El Paso	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
21	Garden Fantasy	Lifestyle Designer Kathy Ireland expresses her casual and on trend approach to home interiors with the Kathy Ireland Home Collection.  The mission is   finding solutions for families, especially busy moms. This extremely popular collection is inspired by Kathy's travels all over the world and embraced by millions of families.  Kathy's Gallery collection, offers the height of fashion and softness.  Although reasonably priced, Gallery gives you more comfort, maximum versatility and expensive looks that are always in demand by our Customers.  These beautiful, durable rugs are machine-crafted of plush 100% olefin in a Wilton woven construction. Available in a wide range of popular sizes, including oversized and round styles, as well as runners, all rugs in this collection offer maximum versatility and incomparable value. Comfortable, inviting, and touchable, the various designs and fresh color ways of this collection make decorating easy.  www.kathyireland.com  2001 - 2004 Shaw Living   Authorized licensee of Kathy Ireland Worldwide LLC		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
22	Lucidity	Modern and upbeat, Impressions is our premier collection of stunning transitional and contemporary designs.  The boldly colored collection of 24 sophisticated patterns and distinctive motifs, from organic to geometric, is further embellished with a carving effect which adds unique dimension and value, beyond all other contemporary products.  The actual hi-lo weaving technique that gives this visual and tactile contour to the surface of the rug intensifies the depth and richness of the rug's design elements.  The lustrous olefin yarn, with a buttery-soft hand, enhances the dimensional quality of the collection.  Machine crafted of plush olefin fiber in a Wilton woven construction.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
23	Affinity II	The Affinity II collection is modern shag that has updated with a new broader appeal and the power to inspire.  Large and small lustrous yarns combine to create sumptuous texture, while a range of beautiful colors add verve and excitement. Colors include youthful brights (anjou, cabaret, glacier, imperial, juniper and zest) to nature-inspired neutrals (ivory, sand, goldenrod, and thyme) to rich classics (onyx, cocoa and ruby).  Machine tufted in the U.S.A. of soft, yet durable recyclable nylon allowing for easy care and cleaning.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
Living's soft and durable ClearTouch PET fiber. The fiber is certified to contain 25% post-consumer content and is also treated with Shaw's patented R2X stain and soil resistant system. Available in 6 populRed Apple to match any decor.x 13' incluShaw Living offers a one year warranty against manufacturing defects of area rug products.Cotton, Fresh Herb, Icy Blue and
25	Tapestry	The simple, transitional styles of this collection are designed to be easy to live with. The unique surface effects are achieved by combining a mixture of yarns in each stitch, creating a richly hued, tweeded texture with superior depth and dimension. Machine tufted one stitch at a time in 100% New Zealand wool, each rug is meticulously hand finished for luxurious beauty.  2000 - 2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
26	Soho	Woven Expressions Gold offers 500,000 points of density for a softer sweep.  Inject warmth and richness into your space with the combination of some of our most popular shades.  Two different color palettes offer plenty of options to coordinate spaces. One consists of a deep, rich palette like Burnished Gold, Garnet, Ebony, and Sand.  The other is a softer palette of Ivory, Taupe, Golden Wheat, Chocolate and has coordinating tones of Blue, Green and Red.  These palettes have withstood the test of time and have proven to be exceptional colors for all the styles of home decor.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
27	Izzy	Cool is the only word for it.  Although you might add dynamic and chic.  Loft is a line of luxurious hand-crafted rugs of exciting contemporary and transitional design.  The rugs are completely hand-tufted, offering the fine detailing of hand-carved accents, modern oversized motifs, and a wide range of colorations within the modern color palette.  Made of polyester fiber, these rugs have a remarkable resemblance to wool at an exceptional price.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
Attitudes collection dazzles with stylish introductions suitable for baby to teen.  Beautiful yet budget-friendly, the kathy ireland Home Young Attitudes collection offers bold geometrics with circles and stripes as well as inspiring rugs featuring oversized florals, cartoon-like dinosaurs, cars and airplanes, whimsical swirls and even a luau-theme.  The imagination is set free with this creative collection. Made in the USA of printed, recyclable nylon.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
29	Leaves a Plenty			Shaw Living offers a one year warranty against manufacturing defects of area rug products.
30	Tribeca	A casual lifestyle collection, Modern Elements features transitional and contemporary designs in two distinctive printed color palettes. Dramatic, bold blocks and other geometric shapes are influenced by the Arts & Crafts period. Trendy stripes, diamond patterns and striking large scale designs bring understated hints of nature or add feisty southwestern sizzle to a room.  Constructed of nylon for easy care, Modern Elements offers freshness, relaxed styling and exceptional value for today's savvy consumers.  2003 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
31	Giselle	Transitions is a new collection of unique transitional and contemporary rugs. The inspiring palette features rich reds, warm neutrals, as well as golds, soft greens, and accents of eggplant, brown, and vintage blue. Even greater sparkle and depth are brought to the designs when married with colors like onyx and beige.  Made from machine-woven olefin, Transitions showcases geometric shapes and artistic color combinations, whimsical structures and organic circles, to a contemporary twist on tropical leafs, and coastal patchwork of fanciful fronds.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
32	Ornament	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
33	Storm	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
34	Maple	Modern and upbeat, Impressions is our premier collection of stunning transitional and contemporary designs.  The boldly colored collection of 24 sophisticated patterns and distinctive motifs, from organic to geometric, is further embellished with a carving effect which adds unique dimension and value, beyond all other contemporary products.  The actual hi-lo weaving technique that gives this visual and tactile contour to the surface of the rug intensifies the depth and richness of the rug's design elements.  The lustrous olefin yarn, with a buttery-soft hand, enhances the dimensional quality of the collection.  Machine crafted of plush olefin fiber in a Wilton woven construction.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
35	Kendi	Cool is the only word for it.  Although you might add dynamic and chic.  Loft is a line of luxurious hand-crafted rugs of exciting contemporary and transitional design.  The rugs are completely hand-tufted, offering the fine detailing of hand-carved accents, modern oversized motifs, and a wide range of colorations within the modern color palette.  Made of polyester fiber, these rugs have a remarkable resemblance to wool at an exceptional price.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
36	Posh	A modern shag collection featuring luxurious texture, sleek shine, and plenty of personality.  The fashionable and sophisticated color palette includes earth tones, beach hues and contemporary colors.  The earth tones encompass a variety of neutral hues ranging from pearl white through chocolate brown.  Beach hues include fresh coastal colors such as shell, willow and sea glass.  The contemporary category offers deep, rich modern colors such as onyx, gun metal, garnet and cinnamon.  To liven up a living room or add flair to a playroom or anything in between, the Posh collection fits a wide range of lifestyles from light hearted and fun to sophisticated and stylish.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
37	French Countryside	Lifestyle Designer Kathy Ireland expresses her casual and on trend approach to home interiors with the Kathy Ireland Home Collection.  The mission is   finding solutions for families, especially busy moms. This extremely popular collection is inspired by Kathy's travels all over the world and embraced by millions of families.  Kathy's trusted design insight, beautiful color palette and unique styles have made her well-established Essentials rugs our company's best selling collection to date. Machine-crafted of plush 100% olefin in a Wilton woven construction, Essentials rugs are available in a wide range of sizes, including oversized, round and squares, as well as runners. Comfortable, inviting and touchable, these rugs make decorating easy because they work for a wide range of home decors.     2000-2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
38	Symphony	Woven Expressions Gold offers 500,000 points of density for a softer sweep.  Inject warmth and richness into your space with the combination of some of our most popular shades.  Two different color palettes offer plenty of options to coordinate spaces. One consists of a deep, rich palette like Burnished Gold, Garnet, Ebony, and Sand.  The other is a softer palette of Ivory, Taupe, Golden Wheat, Chocolate and has coordinating tones of Blue, Green and Red.  These palettes have withstood the test of time and have proven to be exceptional colors for all the styles of home decor.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
39	Forever In Plaid	Reflecting the vivid cultures of the Mediterranean, this collection presents a palette that's more luscious, vibrant, and dimensional than ever seen before in machine-woven rugs. What's more, the rich shadings within these designs give you great options in color coordination.  It's all thanks to Shaw's new ombre dyeing technique. We've taken centuries-old processes and carried them out through modern technology. The result? Deep, radiant colors that make your rooms sing. Woven in the U.S.A. from Shaw's EverTouch nylon, which offers outstanding softness, design flexibility, and durability--and it's completely recyclable!  The black has warm shades as well as cool tones of indigo, gunmetal, and gray. Intense reds range from deep burgundy to bright tomato. Blues include indigo, peacock, teal, denim, and periwinkle. Intoxicating greens showcase apple, mint, khaki, and spruce--and within the purple range are tones of wine, royal, blueberry, and plum. The brown is rich with shades of espresso, loden, chocolate, and walnut. And finally, the golds and beiges are tempered with warm and cool hues to evoke sophisticated elegance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
40	Merry Christmas	Wonder.  Sparkle.  Celebration.  Our holiday collection takes both classic and contemporary approaches to the season-with whimsical illustrations, nature-inspired motifs, and homespun decorative details.  The contemporary designs have modern flair with a certain opulence and sophistication, while the classic designs use traditional festive imagery for a timeless look.  The deep-toned palette is wonderfully familiar yet fresh, focusin on red, green, antique gold, white, and black.  Made in the USA of 100% printed recyclable nylon.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
41	Janis	A casual lifestyle collection, Modern Elements features transitional and contemporary designs in two distinctive printed color palettes. Dramatic, bold blocks and other geometric shapes are influenced by the Arts & Crafts period. Trendy stripes, diamond patterns and striking large scale designs bring understated hints of nature or add feisty southwestern sizzle to a room.  Constructed of nylon for easy care, Modern Elements offers freshness, relaxed styling and exceptional value for today's savvy consumers.  2003 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
42	Sheridan	Century is inspired by the elegant styles and timeless colors of centuries past.  Classic Persian Designs are reborn in exquisite detail and woven in the comfort of today's soft, modern olefin yarn.  The new color palette draws inspiration from antiquity with rich reds, warm neutrals, golds, soft greens, and accents of eggplant, brown and vintage blue.  The overall rich patina of this collection ensures beauty and longevity.  2005 Shaw		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
43	Clearwater Cove	Inspired by the simplicity and beauty of nature,Timber Creek is the latest in renowned artist Phillip Crowe's love of wildlife and the great outdoors.  The collection features rugs spotlighting Phillip Crowe's love of wildlife and the great outdoors and featuring the distinct styling of the Arts and Crafts erea.  Boasting natural textures, and make from machine-woven olefin, the rugs in the Phillip Crowe collection were designed to meet the overwhelming demand for rustic, outdoor looks.  The color palette draws inspiration from nature with rich reds, warm neutrals, as well as folds, soft greens, and accents of eggplant, brown, and vintage blue.  The beauty of nature is complemented even further through touches of onyx and beige.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
44	Thai	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
45	a Stitch In Time	Oh-so-soft and oh-so-green.  The rugs in our HGTV Home Grandeur tufted collection offers Shaw's Green Edge cradle-to-cradle design solution, and are machine tufted with Anso nylon... which is not only recyclable but also contains recycled content (recycled content varies.. for more information, please visit: shawfloors.com). These rugs are luxuriously silts to the touch and exceptionally durable. They're also treated with Shaw's patented R2X Stain and Soil Resistance system, which gives rugs an unprecedented level of protection by achieving total fiber coverage from the top to the boottom of the face yarn. So you have increased repellency for easy removal of liquid stains. Covered by Shaw's R2X Limited Ten-Year Stain and Soil Warranty.  Made in the USA.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
46	Phoenix	Offering a wide assortment of patterns, the Accents collection features a common color palette that blends earthy shades with vibrant jewel tones that's warm, soothing, and inviting. Accents covers the gamut of interior design themes: retro modern looks, organic and nature motifs; Asian and Sante Fe styles; sleek, bold, modern stripes and geometrics; rhythmic transitional images; and classic European and Persian influences. Whether its tropical fronds or a new twist on animal skins, you'll find today's hottest designs. So you can choose traditional or contemporary or anything in between. Machine woven of olefin fiber, the collection has a buttery-soft finish that inherently resists soil and stains and is fade resistant-all of which mean lasting beauty and performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
47	Asian Enchantment	Lifestyle Designer Kathy Ireland expresses her casual and on trend approach to home interiors with the Kathy Ireland Home Collection.  The mission is   finding solutions for families, especially busy moms. This extremely popular collection is inspired by Kathy's travels all over the world and embraced by millions of families.  Kathy's trusted design insight, beautiful color palette and unique styles have made her well-established Essentials rugs our company's best selling collection to date. Machine-crafted of plush 100% olefin in a Wilton woven construction, Essentials rugs are available in a wide range of sizes, including oversized, round and squares, as well as runners. Comfortable, inviting and touchable, these rugs make decorating easy because they work for a wide range of home decors.     2000-2004 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
48	Regency	Renaissance marks a rebirth of design, color and value in the area rug market.  It's here that the practicality and softness of Shaw's EverTouch nylon and the aesthetic natural quality of antique carpets come together in a single collection of fine rugs that, undoubtedly, blurs the line between handmade and machine-made.  The majority of the collection is traditional, with a representation of casual transitionals and contemporaries.  Each style creates a new expectation, a new benchmark, a new sophistication, and redefines what world class styling is and should be.  The colors in this collection combine the neutral tones of antique carpets with the punch of today's most influential accent colors to coordinate with more fabrics, more often.  With the introduction of the Renaissance collection, the standard by which we judge the beauty and value of machine-made has been set.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
49	Zing Garden	Modern and upbeat, Impressions is our premier collection of stunning transitional and contemporary designs.  The boldly colored collection of 24 sophisticated patterns and distinctive motifs, from organic to geometric, is further embellished with a carving effect which adds unique dimension and value, beyond all other contemporary products.  The actual hi-lo weaving technique that gives this visual and tactile contour to the surface of the rug intensifies the depth and richness of the rug's design elements.  The lustrous olefin yarn, with a buttery-soft hand, enhances the dimensional quality of the collection.  Machine crafted of plush olefin fiber in a Wilton woven construction.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
50	Jewels	Experience the softer side of modern design in a collection that balances old world traditions and today's style.  Haven's contemporary and transitional rugs give a nod to classic global influences...echoing traditions from around the world and throughout history.  In the wide palette of colors, muted earthy hues create soft ombre and painterly effects, while bold jewel tones add drama and dimensiHaven rugs are made from Shaw's EverTouch nylon, which offers outstanding softness, design flexibility, and durability--and it's completely recyclable!		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
51	Gillian	Experience the essence of chic design and exquisite quality with Shaw Living's newest collection, Pacifica.  This collection was created to fulfill the need for heirloom quality woolen rugs with a contemporary aesthetic and will appeal to the modernist, minimalist, and traditionalist alike.  The colorway embodies rich, earth tones including ivory cream, polished copper, antique gold, palee leaf, bMachine woven of 100% New Zealand Wool, Pacifica is incredibly soft and luxurious with the styles featuring hand carving for additional dimension and detail.  Wool is a natural fiber that is renewable, sustainable and biodegradable.  The fiber is naturally soil resistant, durable and offers extraordinary performance.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
52	Midnight Savanna	Cool is the only word for it.  Although you might add dynamic and chic.  Loft is a line of luxurious hand-crafted rugs of exciting contemporary and transitional design.  The rugs are completely hand-tufted, offering the fine detailing of hand-carved accents, modern oversized motifs, and a wide range of colorations within the modern color palette.  Made of polyester fiber, these rugs have a remarkable resemblance to wool at an exceptional price.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
53	Dashing Thru the Night	Wonder.  Sparkle.  Celebration.  Our holiday collection takes both classic and contemporary approaches to the season-with whimsical illustrations, nature-inspired motifs, and homespun decorative details.  The contemporary designs have modern flair with a certain opulence and sophistication, while the classic designs use traditional festive imagery for a timeless look.  The deep-toned palette is wonderfully familiar yet fresh, focusin on red, green, antique gold, white, and black.  Made in the USA of 100% printed recyclable nylon.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
54	Corsica	Mirabella is the latest creative work from Shaw Living. It's a globally inspired collection of 66 rugs that draws styling inspiration from fashions, cultures and ports from all over the world both ancient and modern. Color is what makes this collection stand apart from the rest. Shaw's new ombre yarn dyeing technique makes coordinating colors easier than ever. But most importantly, the ombre dyeinAstounding Color and Style... Incredible Value. EverToucShaw Living offers a one year warranty against manufacturing defects of area rug products.asual elegance best describe the mood of the collection.
55	Stratosphere	Modern and upbeat, Impressions is our premier collection of stunning transitional and contemporary designs.  The boldly colored collection of 24 sophisticated patterns and distinctive motifs, from organic to geometric, is further embellished with a carving effect which adds unique dimension and value, beyond all other contemporary products.  The actual hi-lo weaving technique that gives this visual and tactile contour to the surface of the rug intensifies the depth and richness of the rug's design elements.  The lustrous olefin yarn, with a buttery-soft hand, enhances the dimensional quality of the collection.  Machine crafted of plush olefin fiber in a Wilton woven construction.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
56	Squared Away			Shaw Living offers a one year warranty against manufacturing defects of area rug products.
57	Mission	A casual lifestyle collection, Modern Elements features transitional and contemporary designs in two distinctive printed color palettes. Dramatic, bold blocks and other geometric shapes are influenced by the Arts & Crafts period. Trendy stripes, diamond patterns and striking large scale designs bring understated hints of nature or add feisty southwestern sizzle to a room.  Constructed of nylon for easy care, Modern Elements offers freshness, relaxed styling and exceptional value for today's savvy consumers.  2003 Shaw Living		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
58	Granite	Transitions is a new collection of unique transitional and contemporary rugs. The inspiring palette features rich reds, warm neutrals, as well as golds, soft greens, and accents of eggplant, brown, and vintage blue. Even greater sparkle and depth are brought to the designs when married with colors like onyx and beige.  Made from machine-woven olefin, Transitions showcases geometric shapes and artistic color combinations, whimsical structures and organic circles, to a contemporary twist on tropical leafs, and coastal patchwork of fanciful fronds.		Shaw Living offers a one year warranty against manufacturing defects of area rug products.
