manufacturers_id	name	description	room_image_url	warranty
23	LIL MO CLASSIC COLLECTION	What happens when you blend a bit of nostalgia with a bit of today? You get a collection unlike any other…'Lil Mo Classic. Trains, whimsical bugs and a damask with a twist make this collection a must have. Hand-hooked of pure cotton, 'Lil Mo Classicfeatures a cut-loop construction which gives the motifs a high/low effect and added texture. Just too cute!		1 Year
24	LIL MO WHIMSY COLLECTION	Forest critters, retro robots and mod flowers, oh my! Quirky motifs combine to put 'Lil Mo Whimsy in a class by itself. Hand-tufted of soft mod-acrylic, this collection features hand-carving for added texture and a vibrant color palette to make it a fun as it is unique.		1 Year
25	LIL MO HIPSTER COLLECTION	The ultra-hip elements are captured to make 'Lil Mo Hipster the ultimate 'tween collection. Comic book inspired waves, bold millifleur and edgy skaters adorn these hand-tufted mod-acrylic pieces. A funky use of color makes these the perfect complemet to any up and coming hipster's décor!		1 Year
26	LUSTER SHAG	Hand-tufted of brilliant polyester, Luster Shag features a fashionable color palette and the softest of hands.		1 Year
27	MAISON COLLECTION	The Maison Collection hand tufted designs are inspired by the beautiful lost arts of the 18th and 19th centuries; stone and plaster ornamentations, hand painted friezes and baroque ceilings. Exquisitely detailed designs, and a velvety, luxurious pil combine to make this a very special collection.		1 Year
28	MAHAL COLLECTION	Mahal is hand-tufted in India from fine wool. These beautiful reproductions of traditional Persian designs are hand tufted and washed in our special luster wash, which enhances the colors and gives the patina an exceptional sheen.		1 Year
29	METRO COLLECTION	Metro features clean lines and geometric shapes for a distinctive contemporary look. Fresh and appealing, it is hand-loomed in India of 100% wool.		1 Year
30	NOUVEAU COLLECTION	Elegant designs based on the works of William Morris and the Arts & Crafts movement, Nouveau features a bold color palette and hand-finishing for added depth. Power-loomed of 100% New Zealand wool.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/NV-01COO.png	1 Year
31	NEW WAVE COLLECTION	Hand-tufted by expert artisans using a special blend of the highest quality Chinese wools, these rugs have the softest of hands and a shine that is unsurpassed. Many New Wave designs feature hand carving for added depth and a Tibetan-like weave, mosly found in hand-knotted rugs, but expertly achieved in these hand-tufted pieces.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/NW-01BLK.png	1 Year
32	ODYSSEY COLLECTION	Contemporary designs and a powerful color palette make these rugs a must. Power-loomed of 100% New Zealand wool, these rugs are hand-carved and feature hand-serged edges, making them extra special.		1 Year
33	OLD WORLD COLLECTION	Elegant and sophisticated, our Old World collection could have come directly from Rajah’s palace hundreds of years ago. Traditional designs with a contemporary use of color make these beautiful rugs a must. They are hand hooked in China of 100% wool		1 Year
34	PERSIAN GARDEN COLLECTION	Inspired by the rarest Persian Antique pieces, Persian Garden is a unique collection of power-loomed rugs that evoke a sense of the past in modern-day colors and interpretations. Made of 100% New Zealand wool, these rugs feature an abrash effect andhand-serged edges for a quality finish.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/PG-01BUR.png	1 Year
35	RADIANCE COLLECTION	Soft contemporary and transitional designs grace these unique pieces. Hand-tufted of 100% mod-acrylic, Radiance features a heavy wash that gives these rugs a beautiful sheen.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/RD-01 SLT.png	1 Year
36	ROYAL COLLECTION	Royal is an elegant collection of traditional designs in a power-loomed construction of soft polypropylene. Old world motifs adorn these densely plush pieces that will add a rich touch to any décor.		1 Year
37	SENSATIONS	As unique as it is striking, Sensations is an elegant group of transitional designs, all of which feature an exceptional over-tufting technique. Tufted of wool, each design is over-tufted with supple art-silk, further enhancing their beauty.		1 Year
38	SERENGETI COLLECTION	Serengeti is an elegant collection of hand-tufted rugs that resemble the beautiful animal prints found in the African outback. Gorgeous giraffe, tiger and zebra prints in distinctive color combinations make this group of rugs irresistible. Hand-tuftd of 100% wool.		1 Year
39	CHAMBORD COLLECTION	Chambord is a truly unique collection of Aubusson-Soumaks, rich in color and design. Hand-woven of 100% wool, Chambord draws inspiration from various ruling empires throughout Europe and the Middle East and architecture throughout these regions. Comletely reversible. 	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/SM-81MTI.png	1 Year
40	SONOMA COLLECTION	Inspired by antique Moroccan textiles, Sonoma is a casual collection of hand-tufted pieces in an earthen color palette and simple patterns. Finished with a heavy wash, each design has the softest of hands and a rich, abrash look.		1 Year
41	SPENCER COLLECTION	Spencer is a casual collection of hand-hooked rugs featuring soft floral, country, and contemporary designs. Made in China of 100% wool.		1 Year
42	SATARA COLLECTION	Named for the mountainous region of India where the stars shine brightest, Satara is a unique collection of tonal transitional and soft contemporary designs. Hand-tufted with a blend of soft viscose and wool, each design glows with rich highlights.	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/SR-01TAU.png	1 Year
43	SUMMIT COLLECTION	Inspired by its surroundings, Summit is a casual collection of hand-hooked rugs in bold floral and ethnic patterns. Made of 100% polyester.		1 Year
44	SYDNEY COLLECTION	Lori Baff designs have long been prized by rug collectors for their simplicity and striking use of color; Sydney is our ode to these beautiful rugs. Hand-loomed of silky soft New Zealand wool, each design is enhanced by the hand and rich colors used Gabbeh in feel, Sydney will add a quiet touch to your room.		1 Year
45	TIBET COLLECTION	Tibet collection is a combination of sophisticated contemporary and transitional designs implemented in a hand tufted construction, with rich silk highlights. Made in China of 100% wool.		1 Year
46	TREK COLLECTION	Bold abstract and damask designs adorn these unique hand-made pieces. Trek features a dual construction of loop and tufting giving it a high/low effect. It is handmade of 100% wool.	1 Year
47	TAJ MAHAL COLLECTION	Rich traditional designs in a warm color palette enhance the beauty of these hand-tufted pieces. Taj Mahal is handmade from 100% over-twisted wool and given a soft wash for an antiqued finish.		1 Year
48	TRANSITIONS COLLECTION	Organic designs in earthy tones makes Transitions a casual addition to any décor. Hand-made of a polyester/acrylic blend, many Transitions utilize a cut-loop construction that gives it a hi-low effect for added dimension.    	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/TS-01BRN.png	1 Year
49	TETRA COLLECTION	Hand tufted of the softest polyester, Tetra is a unique collection of transitional and contemporary designs, handmade in a cut-loop construction that gives each design a high/low finish. An over-twisted yarn adds an abrash effect to each piece, givig them a powerful look.     		1 Year
50	VINTAGE	Meant to emulate the over-dyed and patchwork handknotted rugs that are so popular today, Vintage interprets this look in a power-loomed quality with hand-sheared finishing that gives each design the look of a distressed, antiqued piece. Made of 100%NZ Wool. Due to the hand sheering of this product and in order to enhance the beauty of this collection each piece may vary slightly.		1 Year
51	VERANDA COLLECTION	Elegant traditional designs and subtle transitional motifs adorn these unique outdoor rugs. Hand-hooked of 100% polypropylene, Veranda is completely outdoor-friendly. With their EZ Care® system, you just hose them down and they will offer years of otdoor enjoyment. UV protected and mildew resistant.    	http://momeni.s3.amazonaws.com/ROOM%20SHOTS/VR-02OGN.png	1 Year
52	ZEN COLLECTION	Inspired by all things tranquil Zen is an elegant collection of hand-tufted rugs, with rich bamboo silk highlights enhancing their quiet appeal and making a graceful addition to any décor. 100% wool		1 Year
53	ZARIN COLLECTION	Influenced by the beautiful Haji Jalili designs of Tabriz, Zarin is an elegant collection of hand-tufted rugs in a high density construction. Warm tones and intricate designs combine to make these modern masterpieces. Hand-tufted of 100% wool.		1 Year
